id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pengeluaran_per_kapita,satuan,tahun
268,32,JAWA BARAT,3201,KABUPATEN BOGOR,10317.0,RIBU RUPIAH,2020
269,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8823.0,RIBU RUPIAH,2020
270,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7980.0,RIBU RUPIAH,2020
271,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10201.0,RIBU RUPIAH,2020
272,32,JAWA BARAT,3205,KABUPATEN GARUT,7876.0,RIBU RUPIAH,2020
273,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7852.0,RIBU RUPIAH,2020
274,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9288.0,RIBU RUPIAH,2020
275,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9459.0,RIBU RUPIAH,2020
276,32,JAWA BARAT,3209,KABUPATEN CIREBON,10342.0,RIBU RUPIAH,2020
277,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9521.0,RIBU RUPIAH,2020
278,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10217.0,RIBU RUPIAH,2020
279,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9859.0,RIBU RUPIAH,2020
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,10790.0,RIBU RUPIAH,2020
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11614.0,RIBU RUPIAH,2020
282,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11315.0,RIBU RUPIAH,2020
283,32,JAWA BARAT,3216,KABUPATEN BEKASI,11241.0,RIBU RUPIAH,2020
284,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8455.0,RIBU RUPIAH,2020
285,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9084.0,RIBU RUPIAH,2020
286,32,JAWA BARAT,3271,KOTA BOGOR,11564.0,RIBU RUPIAH,2020
287,32,JAWA BARAT,3272,KOTA SUKABUMI,10999.0,RIBU RUPIAH,2020
288,32,JAWA BARAT,3273,KOTA BANDUNG,16887.0,RIBU RUPIAH,2020
289,32,JAWA BARAT,3274,KOTA CIREBON,11800.0,RIBU RUPIAH,2020
290,32,JAWA BARAT,3275,KOTA BEKASI,15776.0,RIBU RUPIAH,2020
291,32,JAWA BARAT,3276,KOTA DEPOK,15281.0,RIBU RUPIAH,2020
292,32,JAWA BARAT,3277,KOTA CIMAHI,12025.0,RIBU RUPIAH,2020
293,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10263.0,RIBU RUPIAH,2020
294,32,JAWA BARAT,3279,KOTA BANJAR,10535.0,RIBU RUPIAH,2020
295,32,JAWA BARAT,3201,KABUPATEN BOGOR,10410.0,RIBU RUPIAH,2021
296,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8850.0,RIBU RUPIAH,2021
297,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8052.0,RIBU RUPIAH,2021
298,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10307.0,RIBU RUPIAH,2021
299,32,JAWA BARAT,3205,KABUPATEN GARUT,7961.0,RIBU RUPIAH,2021
300,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7829.0,RIBU RUPIAH,2021
301,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9259.0,RIBU RUPIAH,2021
302,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9409.0,RIBU RUPIAH,2021
303,32,JAWA BARAT,3209,KABUPATEN CIREBON,10368.0,RIBU RUPIAH,2021
304,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9591.0,RIBU RUPIAH,2021
305,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10262.0,RIBU RUPIAH,2021
306,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9810.0,RIBU RUPIAH,2021
307,32,JAWA BARAT,3213,KABUPATEN SUBANG,10854.0,RIBU RUPIAH,2021
308,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11669.0,RIBU RUPIAH,2021
309,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11522.0,RIBU RUPIAH,2021
310,32,JAWA BARAT,3216,KABUPATEN BEKASI,11341.0,RIBU RUPIAH,2021
311,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8546.0,RIBU RUPIAH,2021
