Kab/Kota,jumlah,jns_kelamin,profesi,unit_kerja,tahun
Kabupaten Bandung,16,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Bandung,62,perempuan,dokter gigi,puskesmas,2020
Kabupaten Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Bandung Barat,7,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Bandung Barat,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Bandung Barat,26,perempuan,dokter gigi,puskesmas,2020
Kabupaten Bandung Barat,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Bekasi,4,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Bekasi,44,perempuan,dokter gigi,puskesmas,2020
Kabupaten Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Bogor,5,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Bogor,56,perempuan,dokter gigi,puskesmas,2020
Kabupaten Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Ciamis,3,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Ciamis,13,perempuan,dokter gigi,puskesmas,2020
Kabupaten Ciamis,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Cianjur,15,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Cianjur,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Cianjur,51,perempuan,dokter gigi,puskesmas,2020
Kabupaten Cianjur,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Cirebon,9,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Cirebon,31,perempuan,dokter gigi,puskesmas,2020
Kabupaten Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Garut,7,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Garut,16,perempuan,dokter gigi,puskesmas,2020
Kabupaten Garut,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Indramayu,4,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Indramayu,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Indramayu,25,perempuan,dokter gigi,puskesmas,2020
Kabupaten Indramayu,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Karawang,7,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Karawang,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Karawang,31,perempuan,dokter gigi,puskesmas,2020
Kabupaten Karawang,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Kuningan,5,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Kuningan,11,perempuan,dokter gigi,puskesmas,2020
Kabupaten Kuningan,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Majalengka,3,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Majalengka,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Majalengka,11,perempuan,dokter gigi,puskesmas,2020
Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Pangandaran,6,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Pangandaran,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Pangandaran,5,perempuan,dokter gigi,puskesmas,2020
Kabupaten Pangandaran,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Purwakarta,2,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Purwakarta,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Purwakarta,18,perempuan,dokter gigi,puskesmas,2020
Kabupaten Purwakarta,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Subang,1,laki-laki,dokter gigi,puskesmas,2020
Kabupaten Subang,0,laki-laki,dokter gigi spesialis,puskesmas,2020
Kabupaten Subang,18,perempuan,dokter gigi,puskesmas,2020
Kabupaten Subang,0,perempuan,dokter gigi spesialis,puskesmas,2020
Kabupaten Sukabumi,9,laki-laki,dokter gigi,puskesmas,2020
