Kabupaten/Kota,jumlah_SD/MI,jumlah_SD/MI_SG_Massal,%jumlah_SD/MI_SG_Massal,jumlah_SD/MI_LG,%jumlah_SD/MI_LG,jumlah_murid_SD/MI_L,jumlah_murid_SD/MI_P,jumlah_murid_SD/MI_LP,jumlah_murid_SD/MI_L_Diperiksa,%jumlah_murid_SD/MI_L_Diperiksa,jumlah_murid_SD/MI_P_Diperiksa,%jumlah_murid_SD/MI_P_Diperiksa,jumlah_murid_SD/MI_LP_Diperiksa,%jumlah_murid_SD/MI_LP_Diperiksa,jumlah_murid_SD/MI_L_PR,jumlah_murid_SD/MI_P_PR,jumlah_murid_SD/MI_LP_PR,jumlah_murid_SD/MI_L_MP,%jumlah_murid_SD/MI_L_MP,jumlah_murid_SD/MI_P_MP,%jumlah_murid_SD/MI_P_MP,jumlah_murid_SD/MI_LP_MP,%jumlah_murid_SD/MI_LP_MP,tahun
Kabupaten Bogor,1954,1954,100.0,1699,86.9,115976,133161,249137,17540,15.0,17640,13.2,35180,14.1,3963,3796,7759,3963,100.0,3796,100.0,7759,100.0,2019
Kabupaten Sukabumi,1525,293,19.2,240,15.7,0,0,131176,0,0.0,0,0.0,22849,17.4,0,0,280,0,0.0,0,0.0,50,17.9,2019
Kabupaten Cianjur,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kabupaten Bandung,1726,950,55.0,1567,90.8,222417,151055,373472,181148,81.4,120518,79.8,301666,80.8,46268,49179,95447,15085,32.6,16241,33.0,31326,32.8,2019
Kabupaten Garut,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kabupaten Tasikmalaya,6468,3323,51.4,8624,133.3,4228,5011,9239,32096,759.1,31293,624.5,63389,0.0,9192,9556,18748,3206,34.9,3577,37.4,6783,36.2,2019
Kabupaten Ciamis,882,882,100.0,882,100.0,20027,18741,38768,9679,48.3,8945,47.7,18624,48.0,4947,3770,8717,2828,57.2,2536,67.3,5364,61.5,2019
Kabupaten Kuningan,697,330,47.3,557,79.9,48260,44887,93147,30652,63.5,28617,63.8,59269,63.6,9327,9121,18448,5791,62.1,5787,63.4,11578,62.8,2019
Kabupaten Cirebon,1060,345,32.5,1060,100.0,0,0,0,67116,0.0,67884,0.0,135000,0.0,19309,19496,38805,8049,41.7,8718,44.7,16767,43.2,2019
Kabupaten Majalengka,713,574,80.5,713,67.3,0,0,116,0,0.0,0,0.0,52662,0.0,899,0,14810,0,0.0,0,0.0,10277,69.4,2019
Kabupaten Sumedang,670,447,66.7,547,81.6,39019,35632,74651,16403,42.0,16099,45.2,32781,43.9,5673,5835,11533,3539,62.4,3760,64.4,7349,63.7,2019
Kabupaten Indramayu,2615,1223,46.8,18290,699.4,0,0,606,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kabupaten Subang,4451,910,20.4,1808,40.6,157859,152119,309978,27633,17.5,29115,19.1,56748,18.3,7326,7617,14943,3759,51.3,3788,49.7,7547,50.5,2019
Kabupaten Purwakarta,477,381,79.9,449,94.1,45970,41894,87864,26631,57.9,28620,68.3,55251,62.9,9612,8982,18594,6605,68.7,6535,72.8,13140,70.7,2019
Kabupaten Karawang,742,414,55.8,742,100.0,80183,75724,155907,28690,35.8,28048,37.0,56738,36.4,12118,11857,23975,7001,57.8,7076,59.7,14077,58.7,2019
Kabupaten Bekasi,2685,514,19.1,2273,84.7,102697,108400,211097,37144,36.2,39225,36.2,76369,36.2,15193,15453,30646,7568,49.8,7967,51.6,15535,50.7,2019
Kabupaten Bandung Barat,1726,950,55.04,1567,90.79,222417,151055,373472,181148,81.45,120518,79.78,301666,80.77,46268,49179,95447,15085,32.6,16241,33.02,31326,32.82,2019
Kabupaten Pangandaran,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kota Bogor,337,315,93.5,332,98.5,44702,43316,88018,26488,59.3,27028,62.4,53516,60.8,13191,12678,25869,7365,55.8,8459,66.7,15824,61.2,2019
Kota Sukabumi,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kota Bandung,526,457,86.9,414,78.7,82033,87673,169706,47525,57.9,52204,59.5,99729,58.8,17267,19473,36740,6543,37.9,8366,43.0,14909,40.6,2019
Kota Cirebon,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kota Bekasi,821,42,5.1,42,5.1,11388,11620,23008,3063,26.9,3217,27.7,6280,27.3,409,521,930,153,37.4,154,29.6,307,33.0,2019
Kota Depok,605,507,838.0,605,1000.0,28856,27140,55996,28856,1000.0,27140,1000.0,55996,1000.0,12254,11935,24189,12331,1006.0,12039,1009.0,24370,1007.0,2019
Kota Cimahi,149,176,118.1,263,176.5,34832,32970,67802,18744,53.8,18438,55.9,37182,54.8,8074,8105,16179,1377,17.1,1570,19.4,2947,18.2,2019
Kota Tasikmalaya,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2019
Kota Banjar,111,86,77.5,94,84.7,10099,9242,19341,1672,16.6,1629,17.6,3301,17.1,0,0,0,0,0.0,0,0.0,0,0.0,2019
Jawa Barat,30940,15073,48.699999999999996,42768,283.70000000000005,1270963,1129640,2532501,782228,61.5,666178,59.0,1524196,60.199999999999996,241290,246553,502059,110248,45.7,116610,47.3,237235,47.3,2019
